itemNo,material,currency,price,quantity,action,activityType,baseUnit,businessArea,componentId,costCenter,costElement,costEstNo,costingDate,costingType,costingVersion,currencyTypeCode,errMsg,fixValue,fixedValue,itemCategory,ledger,materialCompositeKey,materialDesc,materialSpecProcTypeCosting,mixedCosting,mixingRatio,operation,parentMaterial,parentMaterialCompositeKey,parentMaterialSpecProcTypeCosting,parentPlant,plant,priceUnit,processCategory,procurementAlternative,profitCenter,purcDocNum,purcItemNo,referenceObject,selectionIdType,srcSys,supplier,totalValue,tranSelectionId,transfCostEstNo,transfCostingDate,transfCostingType,transfCostingVersion,transfValuationVariant,transferStrategy,valuationStrategy,valuationVariant,workCenter,reportType
CC008,Brake Pad Set (Supplier H),EUR,88.00,1,Purchase,Braking System,EA,Automotive,BP_001H,CC300,EL500,CE20240709,2024-07-09,Standard,V1.0,EUR,,,,,Parts,GL100,CC008_COMP,Brake Pad Set from Supplier H,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,88.00,Assembly,Supplier Quote,PC70,PO12386,420,,Parts,SAP,SupplierH,88.00,TID_048,TCE_048,2024-07-09,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,BrakeShop,COST_COMPARISON
MB031,Thermostat,EUR,55.00,1,Purchase,Cooling System,EA,Automotive,TH_A,CC106,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,MB031_COMP,Engine Thermostat,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,55.00,Cooling Assy,Supplier Procure,PC56,PO12387,430,,Parts,SAP,Wahler,55.00,TID_049,TCE_049,2024-07-15,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Cooling,GENERAL_COSTING
MB032,Oxygen Sensor,USD,95.00,1,Purchase,Emission System,EA,Automotive,OS_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,USD,,,,,Parts,GL112,MB032_COMP,Oxygen Sensor,Direct Procure,False,0.0,Buy,MB_EMISS,MB_EMISS_COMP,,PlantI,P900,95.00,Emission Assy,Supplier Procure,PC62,PO12388,440,,Parts,SAP,Bosch,95.00,TID_050,TCE_050,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB033,Fuel Rail Pressure Sensor,EUR,70.00,1,Purchase,Fuel System,EA,Automotive,FRPS_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,EUR,,,,,Parts,GL116,MB033_COMP,Fuel Rail Pressure Sensor,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,70.00,Fuel Assy,Supplier Procure,PC66,PO12389,450,,Parts,SAP,Bosch,70.00,TID_051,TCE_051,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB034,Camshaft Position Sensor,USD,50.00,1,Purchase,Engine Management,EA,Automotive,CPS_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB034_COMP,Camshaft Position Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,50.00,Engine Assy,Supplier Procure,PC63,PO12390,460,,Parts,SAP,Hella,50.00,TID_052,TCE_052,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB035,Crankshaft Position Sensor,EUR,55.00,1,Purchase,Engine Management,EA,Automotive,CRPS_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB035_COMP,Crankshaft Position Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,55.00,Engine Assy,Supplier Procure,PC63,PO12391,470,,Parts,SAP,Hella,55.00,TID_053,TCE_053,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB036,Throttle Body,USD,200.00,1,Purchase,Engine Management,EA,Automotive,TB_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB036_COMP,Throttle Body Assembly,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,200.00,Engine Assy,Supplier Procure,PC63,PO12392,480,,Parts,SAP,VDO,200.00,TID_054,TCE_054,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB037,Fuel Injector,EUR,80.00,1,Purchase,Fuel System,EA,Automotive,FI_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,EUR,,,,,Parts,GL116,MB037_COMP,Fuel Injector,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,80.00,Fuel Assy,Supplier Procure,PC66,PO12393,490,,Parts,SAP,Bosch,80.00,TID_055,TCE_055,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB038,High Pressure Fuel Pump,USD,500.00,1,Purchase,Fuel System,EA,Automotive,HPFP_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB038_COMP,High Pressure Fuel Pump,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,500.00,Fuel Assy,Supplier Procure,PC66,PO12394,500,,Parts,SAP,Bosch,500.00,TID_056,TCE_056,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB039,Turbocharger,EUR,1200.00,1,Purchase,Engine Parts,EA,Automotive,TC_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB039_COMP,Turbocharger Assembly,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,1200.00,Engine Assy,Supplier Procure,PC63,PO12395,510,,Parts,SAP,Garrett,1200.00,TID_057,TCE_057,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB040,DPF (Diesel Particulate Filter),USD,900.00,1,Purchase,Emission System,EA,Automotive,DPF_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,USD,,,,,Parts,GL112,MB040_COMP,Diesel Particulate Filter,Direct Procure,False,0.0,Buy,MB_EMISS,MB_EMISS_COMP,,PlantI,P900,900.00,Emission Assy,Supplier Procure,PC62,PO12396,520,,Parts,SAP,Walker,900.00,TID_058,TCE_058,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
PU009,Rear Door Assembly (Left),EUR,600.00,1,Manufacture,Body Assembly,EA,Body Prod,RDA_L_A,CC201,EL510,CE20240717,2024-07-17,Production,V1.0,EUR,,,,,Assembly,GL201,PU009_COMP,"Used in Mercedes C-Class (W205) Sedan, E-Class (W213) Sedan",Internal Procure,False,0.0,Produce,MB_BODY,MB_BODY_COMP,,PlantA,P100,600.00,Final Assy,Internal Mfg,PC61,,,,,SAP,600.00,TID_059,TCE_059,2024-07-17,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,BodyShop,PARTS_USAGE
PU010,Trunk Lid Assembly,USD,450.00,1,Manufacture,Body Assembly,EA,Body Prod,TLA_A,CC201,EL510,CE20240717,2024-07-17,Production,V1.0,USD,,,,,Assembly,GL201,PU010_COMP,"Used in Mercedes C-Class (W205) Coupe, E-Class (C238) Coupe",Internal Procure,False,0.0,Produce,MB_BODY,MB_BODY_COMP,,PlantA,P100,450.00,Final Assy,Internal Mfg,PC61,,,,,SAP,450.00,TID_060,TCE_060,2024-07-17,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,BodyShop,PARTS_USAGE
SP009,Air Suspension Strut,EUR,800.00,1,Purchase,Suspension,EA,Automotive,ASS_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,SP009_COMP,"Similar to Coil Spring, Shock Absorber (Standard)",Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,800.00,Suspension Assy,Supplier Procure,PC57,PO12397,530,,Parts,SAP,Arnott,800.00,TID_061,TCE_061,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,SIMILAR_PARTS
SP010,Transfer Case,USD,1500.00,1,Purchase,Drivetrain,EA,Automotive,TC_B,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,USD,,,,,Parts,GL111,SP010_COMP,"Similar to Differential, Transmission",Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,1500.00,Drivetrain Assy,Supplier Procure,PC61,PO12398,540,,Parts,SAP,Magna,1500.00,TID_062,TCE_062,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,SIMILAR_PARTS
CC009,Starter Motor (Supplier I),EUR,180.00,1,Purchase,Electrical,EA,Automotive,SM_001I,CC301,EL507,CE20240714,2024-07-14,Standard,V1.0,EUR,,,,,Parts,GL105,CC009_COMP,Starter Motor from Supplier I,Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantF,P600,180.00,Electrical Assy,Supplier Quote,PC71,PO12399,550,,Parts,SAP,SupplierI,180.00,TID_063,TCE_063,2024-07-14,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Electrical,COST_COMPARISON
CC010,Starter Motor (Supplier J),EUR,195.00,1,Purchase,Electrical,EA,Automotive,SM_001J,CC301,EL507,CE20240714,2024-07-14,Standard,V1.0,EUR,,,,,Parts,GL105,CC010_COMP,Starter Motor from Supplier J,Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantF,P600,195.00,Electrical Assy,Supplier Quote,PC71,PO12400,560,,Parts,SAP,SupplierJ,195.00,TID_064,TCE_064,2024-07-14,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Electrical,COST_COMPARISON
MB041,Fuel Tank,USD,600.00,1,Purchase,Fuel System,EA,Automotive,FT_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB041_COMP,Fuel Tank Assembly,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,600.00,Fuel Assy,Supplier Procure,PC66,PO12401,570,,Parts,SAP,Magna,600.00,TID_065,TCE_065,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB042,Brake Booster,EUR,350.00,1,Purchase,Braking System,EA,Automotive,BB_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,MB042_COMP,Brake Booster,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,350.00,Brake Assy,Supplier Procure,PC69,PO12402,580,,Parts,SAP,ATE,350.00,TID_066,TCE_066,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB043,Brake Master Cylinder,USD,180.00,1,Purchase,Braking System,EA,Automotive,BMC_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,USD,,,,,Parts,GL117,MB043_COMP,Brake Master Cylinder,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,180.00,Brake Assy,Supplier Procure,PC69,PO12403,590,,Parts,SAP,TRW,180.00,TID_067,TCE_067,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB044,Wheel Speed Sensor,EUR,70.00,1,Purchase,Braking System,EA,Automotive,WSS_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,MB044_COMP,Wheel Speed Sensor (ABS),Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,70.00,Brake Assy,Supplier Procure,PC69,PO12404,600,,Parts,SAP,Bosch,70.00,TID_068,TCE_068,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB045,Suspension Strut (Front),USD,220.00,1,Purchase,Suspension,EA,Automotive,SS_F_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,USD,,,,,Parts,GL107,MB045_COMP,Front Suspension Strut,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,220.00,Suspension Assy,Supplier Procure,PC57,PO12405,610,,Parts,SAP,Bilstein,220.00,TID_069,TCE_069,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB046,Air Compressor (Air Suspension),EUR,600.00,1,Purchase,Suspension,EA,Automotive,AC_AS_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB046_COMP,Air Suspension Compressor,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,600.00,Suspension Assy,Supplier Procure,PC57,PO12406,620,,Parts,SAP,Arnott,600.00,TID_070,TCE_070,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB047,Wheel Bearing Kit (Front),USD,110.00,1,Purchase,Wheels,EA,Automotive,WBK_F_A,CC118,EL522,CE20240729,2024-07-29,Standard,V1.0,USD,,,,,Parts,GL118,MB047_COMP,Front Wheel Bearing Kit,Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,110.00,Wheel Assy,Supplier Procure,PC70,PO12407,630,,Parts,SAP,FAG,110.00,TID_071,TCE_071,2024-07-29,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,GENERAL_COSTING
MB048,Hub Assembly (Rear),EUR,140.00,1,Purchase,Wheels,EA,Automotive,HA_R_A,CC118,EL522,CE20240729,2024-07-29,Standard,V1.0,EUR,,,,,Parts,GL118,MB048_COMP,Rear Hub Assembly,Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,140.00,Wheel Assy,Supplier Procure,PC70,PO12408,640,,Parts,SAP,SKF,140.00,TID_072,TCE_072,2024-07-29,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,GENERAL_COSTING
MB049,CV Axle (Front Left),USD,280.00,1,Purchase,Drivetrain,EA,Automotive,CVA_FL_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,USD,,,,,Parts,GL111,MB049_COMP,Front Left CV Axle,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,280.00,Drivetrain Assy,Supplier Procure,PC61,PO12409,650,,Parts,SAP,GKN,280.00,TID_073,TCE_073,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB050,Transmission Mount,EUR,75.00,1,Purchase,Transmission,EA,Automotive,TM_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,EUR,,,,,Parts,GL115,MB050_COMP,Transmission Mount,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,75.00,Transmission Assy,Supplier Procure,PC65,PO12410,660,,Parts,SAP,Corteco,75.00,TID_074,TCE_074,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
PU011,Instrument Cluster,EUR,800.00,1,Manufacture,Interior,EA,Electronics,IC_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU011_COMP,"Used in Mercedes C-Class (W205), GLC (X253)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,800.00,Final Assy,Internal Mfg,PC67,,,,,SAP,800.00,TID_075,TCE_075,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU012,Rear View Camera,USD,300.00,1,Manufacture,Infotainment,EA,Electronics,RVC_A,CC202,EL511,CE20240718,2024-07-18,Production,V1.0,USD,,,,,Assembly,GL202,PU012_COMP,"Used in Mercedes E-Class (W213), S-Class (W222)",Internal Procure,False,0.0,Produce,MB_INFO,MB_INFO_COMP,,PlantB,P200,300.00,Final Assy,Internal Mfg,PC62,,,,,SAP,300.00,TID_076,TCE_076,2024-07-18,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,Electronics,PARTS_USAGE
SP011,Brake Line,EUR,20.00,1,Purchase,Braking System,EA,Automotive,BL_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,SP011_COMP,"Similar to Brake Hose, ABS Line",Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,20.00,Brake Assy,Supplier Procure,PC69,PO12411,670,,Parts,SAP,ATE,20.00,TID_077,TCE_077,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,SIMILAR_PARTS
SP012,Ignition Switch,USD,110.00,1,Purchase,Electrical,EA,Automotive,IS_A,CC105,EL507,CE20240714,2024-07-14,Standard,V1.0,USD,,,,,Parts,GL105,SP012_COMP,"Similar to Steering Lock, Key Fob",Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantF,P600,110.00,Electrical Assy,Supplier Procure,PC55,PO12412,680,,Parts,SAP,Hella,110.00,TID_078,TCE_078,2024-07-14,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Electrical,SIMILAR_PARTS
CC011,Water Pump (Supplier K),EUR,140.00,1,Purchase,Cooling System,EA,Automotive,WP_001K,CC302,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,CC011_COMP,Water Pump from Supplier K,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,140.00,Cooling Assy,Supplier Quote,PC72,PO12413,690,,Parts,SAP,SupplierK,140.00,TID_079,TCE_079,2024-07-15,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
CC012,Water Pump (Supplier L),EUR,160.00,1,Purchase,Cooling System,EA,Automotive,WP_001L,CC302,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,CC012_COMP,Water Pump from Supplier L,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,160.00,Cooling Assy,Supplier Quote,PC72,PO12414,700,,Parts,SAP,SupplierL,160.00,TID_080,TCE_080,2024-07-15,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
MB051,Fuel Pressure Regulator,USD,100.00,1,Purchase,Fuel System,EA,Automotive,FPR_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB051_COMP,Fuel Pressure Regulator,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,100.00,Fuel Assy,Supplier Procure,PC66,PO12415,710,,Parts,SAP,Bosch,100.00,TID_081,TCE_081,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB052,Engine Coolant Temperature Sensor,EUR,40.00,1,Purchase,Engine Management,EA,Automotive,ECTS_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB052_COMP,Engine Coolant Temperature Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,40.00,Engine Assy,Supplier Procure,PC63,PO12416,720,,Parts,SAP,Hella,40.00,TID_082,TCE_082,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB053,Knock Sensor,USD,65.00,1,Purchase,Engine Management,EA,Automotive,KS_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB053_COMP,Knock Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,65.00,Engine Assy,Supplier Procure,PC63,PO12417,730,,Parts,SAP,Bosch,65.00,TID_083,TCE_083,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB054,EGR Cooler,EUR,300.00,1,Purchase,Emission System,EA,Automotive,EGRC_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,EUR,,,,,Parts,GL112,MB054_COMP,EGR Cooler,Direct Procure,False,0.0,Buy,MB_EMISS,MB_EMISS_COMP,,PlantI,P900,300.00,Emission Assy,Supplier Procure,PC62,PO12418,740,,Parts,SAP,Wahler,300.00,TID_084,TCE_084,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB055,Glow Plug,USD,30.00,4,Purchase,Engine Parts,EA,Automotive,GP_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB055_COMP,Glow Plug,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,30.00,Engine Assy,Supplier Procure,PC63,PO12419,750,,Parts,SAP,Bosch,120.00,TID_085,TCE_085,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB056,Engine Oil Cooler,EUR,180.00,1,Purchase,Engine Parts,EA,Automotive,EOC_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB056_COMP,Engine Oil Cooler,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,180.00,Engine Assy,Supplier Procure,PC63,PO12420,760,,Parts,SAP,Mahle,180.00,TID_086,TCE_086,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB057,Transmission Oil Cooler,USD,250.00,1,Purchase,Transmission,EA,Automotive,TOC_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,USD,,,,,Parts,GL115,MB057_COMP,Transmission Oil Cooler,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,250.00,Transmission Assy,Supplier Procure,PC65,PO12421,770,,Parts,SAP,Behr,250.00,TID_087,TCE_087,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
MB058,Differential,EUR,800.00,1,Purchase,Drivetrain,EA,Automotive,DIFF_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB058_COMP,Differential Assembly,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,800.00,Drivetrain Assy,Supplier Procure,PC61,PO12422,780,,Parts,SAP,ZF,800.00,TID_088,TCE_088,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB059,Transfer Case Motor,USD,350.00,1,Purchase,Drivetrain,EA,Automotive,TCM_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,USD,,,,,Parts,GL111,MB059_COMP,Transfer Case Motor,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,350.00,Drivetrain Assy,Supplier Procure,PC61,PO12423,790,,Parts,SAP,Bosch,350.00,TID_089,TCE_089,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB060,Propeller Shaft,EUR,450.00,1,Purchase,Drivetrain,EA,Automotive,PS_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB060_COMP,Propeller Shaft,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,450.00,Drivetrain Assy,Supplier Procure,PC61,PO12424,800,,Parts,SAP,GKN,450.00,TID_090,TCE_090,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
PU013,Headliner,EUR,400.00,1,Manufacture,Interior,EA,Interior Prod,HL_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU013_COMP,"Used in Mercedes C-Class (W205) Sedan, E-Class (W213) Sedan",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,400.00,Final Assy,Internal Mfg,PC67,,,,,SAP,400.00,TID_091,TCE_091,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU014,Center Console,USD,300.00,1,Manufacture,Interior,EA,Interior Prod,CC_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,USD,,,,,Assembly,GL203,PU014_COMP,"Used in Mercedes GLC (X253), C-Class (W205)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,300.00,Final Assy,Internal Mfg,PC67,,,,,SAP,300.00,TID_092,TCE_092,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
SP013,Door Handle (Exterior),EUR,80.00,1,Purchase,Body,EA,Automotive,DH_EXT_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,SP013_COMP,"Similar to Door Handle (Interior), Door Latch",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,80.00,Body Assy,Supplier Procure,PC53,PO12425,810,,Parts,SAP,Huf,80.00,TID_093,TCE_093,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
SP014,Side Mirror Assembly,USD,200.00,1,Purchase,Body,EA,Automotive,SMA_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,SP014_COMP,"Similar to Mirror Glass, Mirror Motor",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,200.00,Body Assy,Supplier Procure,PC53,PO12426,820,,Parts,SAP,Magna,200.00,TID_094,TCE_094,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
CC013,Radiator (Supplier M),EUR,240.00,1,Purchase,Cooling System,EA,Automotive,RAD_001M,CC302,EL511,CE20240718,2024-07-18,Standard,V1.0,EUR,,,,,Parts,GL109,CC013_COMP,Radiator from Supplier M,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,240.00,Cooling Assy,Supplier Quote,PC72,PO12427,830,,Parts,SAP,SupplierM,240.00,TID_095,TCE_095,2024-07-18,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
